As of Date,Fund,Trustee Fund Number,Trustee Fund Name,Donor Code,Donor Name ,Donor Agency,Fiscal Year of Agreement,Contributions Paid In (USD),Contributions Outstanding (USD),Total Contribution (USD),Status
09/12/2012,IFC,TF070924,Mekong Private Sector Development Facility - Phase III (MPDF III),CH,Switzerland,Swiss State Secretariat for Economic Affairs (SECO),2009,$32883.07,$0.00,$32883.07,LCLS
09/12/2012,IFC,TF070924,Mekong Private Sector Development Facility - Phase III (MPDF III),FI,Finland,Finland - Ministry for Foreign Affairs,2009,$3555.66,$0.00,$3555.66,LCLS
09/12/2012,IFC,TF070924,Mekong Private Sector Development Facility - Phase III (MPDF III),IE,Ireland,Ireland - Minister for Foreign Affairs/ Irish Aid,2009,$10722.51,$0.00,$10722.51,LCLS
09/12/2012,IFC,TF070924,Mekong Private Sector Development Facility - Phase III (MPDF III),JP,Japan,Japan - Ministry of Finance,2009,$8867.21,$0.00,$8867.21,LCLS
09/12/2012,IFC,TF070924,Mekong Private Sector Development Facility - Phase III (MPDF III),NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2009,$26783.19,$0.00,$26783.19,LCLS
09/12/2012,IFC,TF070924,Mekong Private Sector Development Facility - Phase III (MPDF III),NO,Norway,Norwegian Agency for Development Cooperation (NORAD),2009,$20521.08,$0.00,$20521.08,LCLS
09/12/2012,IFC,TF070924,Mekong Private Sector Development Facility - Phase III (MPDF III),NZ,New Zealand,New Zealand - Ministry of Foreign Affairs & Trade (Plus NZ AID),2009,$5356.77,$0.00,$5356.77,LCLS
09/12/2012,IFC,TF070924,Mekong Private Sector Development Facility - Phase III (MPDF III),SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2009,$23910.01,$0.00,$23910.01,LCLS
09/12/2012,IFC,TF070924,Mekong Private Sector Development Facility - Phase III (MPDF III),X3,International and Intergovernmental Organizations,,2009,$13574.35,$0.00,$13574.35,LCLS
09/12/2012,IFC,TF070570,Mekong Private Sector Development Facility (MPDF III),IE,Ireland,Ireland - Minister for Foreign Affairs/ Irish Aid,2009,$6405750.00,$0.00,$6405750.00,ACTN
09/12/2012,IFC,TF070570,Mekong Private Sector Development Facility (MPDF III),NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2009,$500000.00,$0.00,$500000.00,ACTN
09/12/2012,IFC,TF070570,Mekong Private Sector Development Facility (MPDF III),NZ,New Zealand,New Zealand - Ministry of Foreign Affairs & Trade (Plus NZ AID),2009,$2000000.00,$0.00,$2000000.00,ACTN
09/12/2012,IFC,TF050953,Mekong Private Sector Development Facility (MPDF),AU,Australia,Australian Agency for International Development (AusAID),2009,$11178.82,$0.00,$11178.82,LCLS
09/12/2012,FTI-S,TF071119,Mid Course Evaluation of the Education for  All-Fast Track Initiative,US,United States,United States Agency for International Development (USAID),2009,$1500000.00,$0.00,$1500000.00,LCLS
09/12/2012,IFC,TF071113,Mobile-Banking (M-banking) in East Asia and the Pacific Program,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2009,$200000.00,$0.00,$200000.00,LCLS
09/12/2012,FS-7MD,TF071114,Moldova Regional Development and Social Protection,E1,European Commission/European Union,EU-Commission of the European Communities,2009,$13452930.99,$3229390.03,$16682321.02,ACTN
