As of Date,Fund,Trustee Fund Number,Trustee Fund Name,Donor Code,Donor Name ,Donor Agency,Fiscal Year of Agreement,Contributions Paid In (USD),Contributions Outstanding (USD),Total Contribution (USD),Status
09/12/2012,MISC,TFM23130,MULTISECTOR REHABLITATION CREDIT,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$5683163.63,$0.00,$5683163.63,LCLS
09/12/2012,MISC,TFM28038,MUNI. STRENGTH. SEMINAR:  MOZAMBIQUE,FI,Finland,Finland - Ministry for Foreign Affairs,2000,$23500.59,$0.00,$23500.59,LCLS
09/12/2012,WBGTF,TFM22274,MUNICIPAL INFRASTRUCTURE DEVELOPMENT,IT,Italy,Italy - Ministry of Foreign Affairs,2000,$3941740.51,$0.00,$3941740.51,LCLS
09/12/2012,MISC,TFM21380,NABARD CREDIT PROJ,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$21153282.49,$0.00,$21153282.49,LCLS
09/12/2012,MISC,TFM20986,NATIONAL ACCOUNTS DEVELOPMENT PROJECT,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$208914.35,$0.00,$208914.35,LCLS
09/12/2012,MISC,TFM20967,NATIONAL DRUG POLICY DEVELOPMENT,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$1988636.36,$0.00,$1988636.36,LCLS
09/12/2012,MISC,TFM20718,NATIONAL FERTILIZER SECTOR PROJECT,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$7949063.10,$0.00,$7949063.10,LCLS
09/12/2012,MISC,TFM20011,NATIONAL FERTILIZER SECTOR PROJECT II,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$7521167.11,$0.00,$7521167.11,LCLS
09/12/2012,MISC,TFM20000,NATIONAL HEALTH DEVELOPMENT,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$1000000.00,$0.00,$1000000.00,LCLS
09/12/2012,MISC,TFM20884,NATIONAL HEALTH SUPPORT PROJECT,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$3703238.50,$0.00,$3703238.50,LCLS
09/12/2012,MISC,TFM20883,NATIONAL HEALTH SUPPORT PROJECT,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$5487029.98,$0.00,$5487029.98,LCLS
09/12/2012,MISC,TFM21305,NATIONAL LAND & WATER CONSERVATION PROJ.,GB,United Kingdom,United Kingdom - Department for International Development (DFID),2000,$237187.90,$0.00,$237187.90,LCLS
09/12/2012,MISC,TFM23187,NATIONAL WATER DEVELOPMENT PROJECT II,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$9999965.50,$0.00,$9999965.50,LCLS
09/12/2012,WBI,TFM20846,NAT'L STRATEGY FOR SUSTAINABLE DEVELOPMENT,CH,Switzerland,Swiss Agency for Development and Cooperation (SDC),2000,$200000.00,$0.00,$200000.00,LCLS
09/12/2012,ESMAP,TFM25005,NATURAL GAS DEVELOPMENT STRATEGY,NL,Netherlands,"Netherlands - Ministry of Economic Affairs, Agriculture and Innovation",2000,$564087.53,$0.00,$564087.53,LCLS
09/12/2012,ESMAP,TFM24510,NATURAL GAS DEVELOPMENT STUDY,NL,Netherlands,"Netherlands - Ministry of Economic Affairs, Agriculture and Innovation",2000,$217963.42,$0.00,$217963.42,LCLS
09/12/2012,MISC,TFM26255,NATURAL RESOURCE MANAGEMENT FRAMEWORK,DK,Denmark,Danish Ministry of Foreign Affairs (DANIDA),2000,$224820.00,$0.00,$224820.00,LCLS
09/12/2012,MISC,TFM23520,NATURAL RESOURCE MANAGEMENT PROGRAM,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$637714.43,$0.00,$637714.43,LCLS
09/12/2012,MISC,TFM28162,NATURAL RESOURCE MANAGEMENT PROJ FOR SSA,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$178560.04,$0.00,$178560.04,LCLS
09/12/2012,MISC,TFM21085,NATURAL RESOURCE MANAGEMENT PROJECT,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$510171.55,$0.00,$510171.55,LCLS
09/12/2012,MISC,TFM20818,NATURAL RESOURCES MANAGEMENT PROGRAM,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$4601571.43,$0.00,$4601571.43,LCLS
09/12/2012,MISC,TFM20882,NATURAL RESOURCES PROJECT,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$3889234.60,$0.00,$3889234.60,LCLS
09/12/2012,CTF,TF024625,NETHERLAND CTF FOR POVERTY ASSESSMENTS,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$3273392.30,$0.00,$3273392.30,LCLS
09/12/2012,MISC,TFM24530,NETHERLAND GRANT - THIRD SMALL INDUSTRIES PROJECT,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$3794637.88,$0.00,$3794637.88,LCLS
09/12/2012,BHTF,TF024770,NETHERLANDS 1998 BOSNIA-HERZEGOVINA GRANT,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$20000000.00,$0.00,$20000000.00,LCLS
09/12/2012,CTF,TF020400,NETHERLANDS' CONSULTANTS TRUST FUND,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$18475224.28,$0.00,$18475224.28,LCLS
09/12/2012,MISC,TFM24520,NETHERLANDS GRANT - SECOND IRR. SYSTEMS,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$3760583.56,$0.00,$3760583.56,LCLS
09/12/2012,MISC,TFM22290,NETHERLANDS GRANT TO BALUCHISTAN,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$9666392.00,$0.00,$9666392.00,LCLS
09/12/2012,MISC,TFM21175,NETHERLANDS' GRANT TO BOLIVIA SAC,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$8978393.24,$0.00,$8978393.24,LCLS
09/12/2012,CTF,TF023590,NETHERLANDS -TAGPE-ENVIRONMENT,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$8931385.95,$0.00,$8931385.95,LCLS
09/12/2012,WBI,TF026040,NETHERLANDS TRUST FUND FOR EDI,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$870811.07,$0.00,$870811.07,LCLS
09/12/2012,IFC,TF022415,NETHERLANDS/IFC TRUST FUND FOR EMERGING MARKETS AND COUNTRIES IN TRANSITION,NL,Netherlands,"Netherlands - Ministry of Economic Affairs, Agriculture and Innovation",2000,$3433320.99,$1423589.54,$4856910.53,LCLS
09/12/2012,MISC,TFM26280,NETHERLANDS-2ND STRUCTURAL ADJ. CREDIT,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$2350364.72,$0.00,$2350364.72,LCLS
09/12/2012,MISC,TFM26360,NETHERLANDS-NATIONAL LIVESTOCK PROJ-CHAD,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$1734569.17,$0.00,$1734569.17,LCLS
09/12/2012,CTF,TF020930,NEW ZEALAND CONSULTANTS TRUST FUND,NZ,New Zealand,New Zealand - Ministry of Foreign Affairs & Trade (Plus NZ AID),2000,$4339367.50,$0.00,$4339367.50,LCLS
09/12/2012,IFC,TF024130,NEW ZEALAND/IFC TECHNICAL ASSISTANCE FUND,NZ,New Zealand,New Zealand - Ministry of Foreign Affairs & Trade (Plus NZ AID),2000,$1489490.00,$0.00,$1489490.00,LCLS
09/12/2012,WBI,TF020349,NGO POVERTY NETWORK IN LATIN AMERICA,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$887994.32,$0.00,$887994.32,LCLS
09/12/2012,WBI,TFM21715,NGO/URBAN POVERTY PROGRAM I,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$210582.55,$0.00,$210582.55,LCLS
09/12/2012,WBI,TFM21716,NGO/URBAN POVERTY PROGRAM II,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$432097.16,$0.00,$432097.16,LCLS
09/12/2012,DS,TFM24855,NIC DEBT SERVICE-SWEDEN 5TH DIMENSION 5,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$2367984.84,$0.00,$2367984.84,LCLS
09/12/2012,MISC,TFM21880,NICARAGUA ARREARS,X4,Other Entities,,2000,$4284731.53,$0.00,$4284731.53,LCLS
09/12/2012,MISC,TFM21880,NICARAGUA ARREARS,X4,Other Entities,,2000,$96535651.15,$0.00,$96535651.15,LCLS
09/12/2012,DS,TFM20372,NICARAGUA DEBT SERVICE,DK,Denmark,Danish Ministry of Foreign Affairs (DANIDA),2000,$20387359.84,$0.00,$20387359.84,LCLS
09/12/2012,DS,TFM25091,NICARAGUA DEBT SERVICE - NORWEGIAN GRANT FOR 1998,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$4630548.39,$0.00,$4630548.39,LCLS
09/12/2012,DS,TFM20371,NICARAGUA DEBT SERVICE (5TH DIMENSION),NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$4700729.44,$0.00,$4700729.44,LCLS
09/12/2012,DS,TFM20262,NICARAGUA DEBT SERVICE (5TH DIMENSION),NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$7065158.42,$0.00,$7065158.42,LCLS
09/12/2012,DS,TFM20263,NICARAGUA DEBT SERVICE (5TH DIMENSION),NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$8367298.40,$0.00,$8367298.40,LCLS
09/12/2012,DS,TFM21088,NICARAGUA DEBT SERVICE 1998 (5TH DIMENSION-DUTCH GRANT),NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$5373741.37,$0.00,$5373741.37,LCLS
09/12/2012,MISC,TFM20582,NICARAGUA-HEALTH SECTOR MODERNIZATION PROJECT,NO,Norway,Norwegian Agency for Development Cooperation (NORAD),2000,$3949072.76,$0.00,$3949072.76,LCLS
09/12/2012,MISC,TFM21502,NIGER HOUSEHOLD ENERGY COMPONENT OF THE ENERGY PROJECT,DK,Denmark,Danish Ministry of Foreign Affairs (DANIDA),2000,$416653.67,$0.00,$416653.67,LCLS
09/12/2012,MISC,TFM22060,NILE BASIN INITIATIVE (FINNISH TF),FI,Finland,Finland - Ministry for Foreign Affairs,2000,$332179.56,$0.00,$332179.56,LCLS
09/12/2012,MISC,TFM23266,NILE BASIN INITIATIVE (NORWAY),NO,Norway,Norwegian Agency for Development Cooperation (NORAD),2000,$2114328.17,$0.00,$2114328.17,LCLS
09/12/2012,CTF,TF025685,NORAD CTF FOR ENVIRONMENT PROGRAM IN ASIA,NO,Norway,Norwegian Agency for Development Cooperation (NORAD),2000,$423460.67,$0.00,$423460.67,LCLS
09/12/2012,MISC,TFM20972,NORTHERN UGANDA TELECOMMUNICATIONS PROJECT,BE,Belgium,Belgium Directorate General for Development Cooperation (DGDC),2000,$4291587.27,$0.00,$4291587.27,LCLS
09/12/2012,MISC,TFM26200,NORWAY - PASTORAL STUDY -SAHEL COUNTRIES,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$257933.45,$0.00,$257933.45,LCLS
09/12/2012,MISC,TFM28144,NORWAY - SPAAR REGIONAL WORKSHOPS,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$29638.00,$0.00,$29638.00,LCLS
09/12/2012,SSATP,TFM20680,NORWAY - SSATP,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$702262.02,$0.00,$702262.02,LCLS
09/12/2012,MISC,TFM21660,NORWAY - WID ACTIVITIES I,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$248708.63,$0.00,$248708.63,LCLS
09/12/2012,CTF,TF024485,NORWAY CONSULTANTS TRUST FUND (NEW),NO,Norway,Norway - Ministry of Foreign Affairs,2000,$10444574.20,$0.00,$10444574.20,LCLS
09/12/2012,IFC,TF023110,NORWAY/IFC: EASTERN & CENTRAL EURO./CIS,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$2872500.00,$0.00,$2872500.00,LCLS
09/12/2012,IFC,TFM26460,NORWAY-AFRICAN PROJ. DELEV. FACILITY-RAF,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$909504.32,$0.00,$909504.32,LCLS
09/12/2012,MISC,TFM26350,NORWAY-EDUCATION SECTOR CONS. PROJ-MALI,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$3252343.60,$0.00,$3252343.60,LCLS
09/12/2012,MISC,TFM26450,NORWAY-NATURAL RESOURCE MANAGEMENT PROG.,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$1658057.52,$0.00,$1658057.52,LCLS
09/12/2012,MISC,TFM26090,NORWAY-POWER SYSTEM MASTER PLAN-BHUTAN,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$1645303.23,$0.00,$1645303.23,LCLS
09/12/2012,MISC,TFM26091,NORWAY-POWER SYSTEM MASTER PLAN-BHUTAN/II,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$27303.23,$0.00,$27303.23,LCLS
09/12/2012,MISC,TFM20500,NORWAY-REHABILITATION PROGRAM-MOZAMBIQUE,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$2550857.73,$0.00,$2550857.73,LCLS
09/12/2012,IFC,TFM26859,Norway's Contribution to Africa Project Development Facility (APDF III),NO,Norway,Norway - Ministry of Foreign Affairs,2000,$2893160.22,$0.00,$2893160.22,LCLS
09/12/2012,SDA,TF020940,NORWAY-SDA ASESMNT OF SOCIAL DIMENSIONS,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$2295771.95,$0.00,$2295771.95,LCLS
09/12/2012,MISC,TFM22305,NORWAY-SOUTH AFRICA POVERTY ASSESSMENT,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$672151.01,$0.00,$672151.01,LCLS
09/12/2012,MISC,TFM26680,NORWAY-STRUCTURAL ADJUSTMENT PROGRAM-BEN,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$2550857.73,$0.00,$2550857.73,LCLS
09/12/2012,MISC,TF024000,NORWAY-WB COLLABORATIVE PROGRAM (UN FCCC),NO,Norway,Norway - Ministry of Foreign Affairs,2000,$5886294.54,$0.00,$5886294.54,LCLS
09/12/2012,IFC,TF024260,Norwegian Agency for Development (NORAD)/IFC Trust Fund to provide financing for Technical Assistance Activities in Developing Coun,NO,Norway,Norwegian Agency for Development Cooperation (NORAD),2000,$3426888.42,$112297.39,$3539185.81,ACTN
09/12/2012,CTF,TF020460,NORWEGIAN CONSULTANTS TRUST FUND,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$15328588.82,$0.00,$15328588.82,LCLS
09/12/2012,CTF,TF024515,NORWEGIAN CTF - ENV. IN EASTERN EUROPE,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$3696305.61,$0.00,$3696305.61,LCLS
09/12/2012,CTF,TF024480,NORWEGIAN CTF - SPECIAL STUDIES,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$2504955.02,$0.00,$2504955.02,LCLS
09/12/2012,CTF,TF024170,NORWEGIAN CTF FOR THE ENVIRONMENT PROGRAM,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$3882435.49,$0.00,$3882435.49,LCLS
09/12/2012,DS,TFM24720,NORWEGIAN GRANT - BANGLADESH DEBT RELIEF,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$4367640.64,$69642.73,$4437283.37,LCLS
09/12/2012,MISC,TFM22079,NORWEGIAN GRANT - ENERGY T.A. & REHAB.,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$2678400.61,$0.00,$2678400.61,LCLS
09/12/2012,WSP,TF020049,NORWEGIAN GRANT TO WSP,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$4101669.23,$0.00,$4101669.23,LCLS
09/12/2012,MISC,TFM24660,NORWEGIAN GRANT/REG. STY. ON EDUC & TRNG,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$89280.02,$0.00,$89280.02,LCLS
09/12/2012,DS,TFM20257,NORWEGIAN RWANDA ARREARS,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$568441.40,$104316.17,$672757.57,LCLS
09/12/2012,MISC,TFM24700,NORWEGIAN SUPPORT TO THE ENVIR. DEPT.,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$2168229.07,$0.00,$2168229.07,LCLS
09/12/2012,CTF,TF020133,"NORWEGIAN TF FOR HEALTH, NUTRITION AND POPULATION IN AFRICA",NO,Norway,Norway - Ministry of Foreign Affairs,2000,$2472471.80,$0.00,$2472471.80,LCLS
09/12/2012,MISC,TFM25646,NRA DEMOBILISATION PROJECT PH. 2 GRANT,GB,United Kingdom,United Kingdom - Department for International Development (DFID),2000,$1067345.55,$0.00,$1067345.55,LCLS
09/12/2012,MISC,TFM25648,"NRA DEMOBILIZATION PHASE II GRANT, 1994",GB,United Kingdom,United Kingdom - Department for International Development (DFID),2000,$2110972.31,$0.00,$2110972.31,LCLS
09/12/2012,MISC,TFM20520,NUSA TENGGARA AGRICULTURAL SUPPORT,AU,Australia,Australian Agency for International Development (AusAID),2000,$3716942.56,$0.00,$3716942.56,LCLS
09/12/2012,CARBON,TF023446,Prototype Carbon Fund,X2,Private For Profit Entities,,2000,$4942117.08,$0.00,$4942117.08,ACTN
09/12/2012,MISC,TFM28167,ODA - ENVIRONMENTAL WORKSHOP IN NIGERIA,GB,United Kingdom,United Kingdom - Department for International Development (DFID),2000,$18676.00,$0.00,$18676.00,LCLS
09/12/2012,MISC,TFM26425,ODA-PHN SECTOR CREDIT,GB,United Kingdom,United Kingdom - Department for International Development (DFID),2000,$521813.38,$0.00,$521813.38,LCLS
09/12/2012,MISC,TF020414,OED-NORWEGIAN PARTNERSHIP FOR DEVELOPMENT EFFECTIVENESS THROUGH EVALUATION,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$1783318.53,$0.00,$1783318.53,LCLS
09/12/2012,MISC,TFM26155,OGIL SYSTEM & ERS,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$25383938.99,$0.00,$25383938.99,LCLS
09/12/2012,ESMAP,TF020791,OIL & NATURAL GAS RELATED ACTIVITIES,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$803520.18,$0.00,$803520.18,LCLS
09/12/2012,MISC,TFM26320,ORAL POLIO VACCINE PRODUCTION FACILITY,X1,Private Non Profit Entities,,2000,$15000000.00,$0.00,$15000000.00,LCLS
09/12/2012,MISC,TFM20006,ORISSA POWER SECTOR REFORM (RECIPIENT EX.),GB,United Kingdom,United Kingdom - Department for International Development (DFID),2000,$6620840.64,$0.00,$6620840.64,LCLS
09/12/2012,OTF,TF020075,OTF (OZONE PROJECTS TRUST FUND-MAIN),U2,UNITED NATIONS ENVIRONMENT PROGRAMME,UN-UNITED NATIONS ENVIRONMENT PROGRAMME (UNEP),2000,$412730318.61,$0.00,$412730318.61,ACTN
09/12/2012,WBI,TFM21805,OVERSEAS FELLOWSHIPS IN ECONOMICS,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$264651.29,$0.00,$264651.29,LCLS
09/12/2012,CTF,TF020015,PAKISTANI CONSULTANT TRUST FUND,PK,Pakistan,Pakistan - Ministry of Finance and Economic Affairs,2000,$500000.00,$0.00,$500000.00,LCLS
09/12/2012,WBGTF,TFM26042,PALESTINIAN EXPATRIATE PROFFESSIONALS PROGRAM,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$305547.41,$0.00,$305547.41,LCLS
09/12/2012,MISC,TFM23638,PARTICIPATION IN PRSP'S - ACTION LEARNING PROGRAM,GB,United Kingdom,United Kingdom - Department for International Development (DFID),2000,$306145.04,$0.00,$306145.04,LCLS
09/12/2012,MISC,TFM20892,PARTNERSHIP FOR PROGRAM GUIDANCE OF MEIP,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$600000.00,$0.00,$600000.00,LCLS
09/12/2012,MISC,TFM22383,PARTNERSHIP ON SUSTAINABLE STRATEGIES FOR GIRLS' EDUCATION,X1,Private Non Profit Entities,,2000,$200000.00,$0.00,$200000.00,LCLS
09/12/2012,DS,TFM25990,PAYMENT OF ARREARS TO IBRD,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$8795064.76,$0.00,$8795064.76,LCLS
09/12/2012,MISC,TFM20334,PAYMENT SYSTEM & BANK MODERNIZATION PROJECT,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$1818038.76,$0.00,$1818038.76,LCLS
09/12/2012,WSP,TFM28914,PAYROLL SUSPENSE ACCOUNT FOR WSP,I1,International Bank for Reconstruction & Development,"IBRD 1818 H Street, NW",2000,$-1322.40,$2644.80,$1322.40,LCLS
09/12/2012,IFC,TFM20824,PBAN - NORWAY GRANT,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$64157.36,$0.00,$64157.36,LCLS
09/12/2012,IFC,TFM20826,PBAS - USAID GRANT 1,US,United States,United States Agency for International Development (USAID),2000,$1721133.87,$0.00,$1721133.87,LCLS
09/12/2012,IFC,TFM20827,PBAS - USAID GRANT 2,US,United States,United States Agency for International Development (USAID),2000,$509753.45,$0.00,$509753.45,LCLS
09/12/2012,IFC,TFM20828,PBAS - USAID GRANT 3,US,United States,United States Agency for International Development (USAID),2000,$2062.00,$0.00,$2062.00,LCLS
09/12/2012,MISC,TFM22727,PEOPLE'S VOICE PROGRAM IN UKRAINE,CA,Canada,Canadian International Development  Agency (CIDA),2000,$744781.46,$0.00,$744781.46,LCLS
09/12/2012,MISC,TFM20314,PETROLEUM SECTOR REFORMS,CA,Canada,Canadian International Development  Agency (CIDA),2000,$253464.81,$0.00,$253464.81,LCLS
09/12/2012,MISC,TFM20309,PETROLEUM SECTOR REFORMS - PHASE II,CA,Canada,Canadian International Development  Agency (CIDA),2000,$368066.73,$0.00,$368066.73,LCLS
09/12/2012,WBI,TFM26096,PHARE GRANT-EDI MARKET ECONOMIC TRAINING,E1,European Commission/European Union,EU-Commission of the European Communities,2000,$258976.11,$0.00,$258976.11,LCLS
09/12/2012,WSP,TFM23755,PHASE 4 WATER & SANITATION PROGRAM,CH,Switzerland,Swiss Agency for Development and Cooperation (SDC),2000,$3618000.00,$0.00,$3618000.00,LCLS
09/12/2012,MISC,TFM20287,PILOT LAND TITLING PROJECT,AU,Australia,Australian Agency for International Development (AusAID),2000,$1357608.51,$0.00,$1357608.51,LCLS
09/12/2012,BRF,TFM21455,PILOT PROGRAM TO CONSERVE RAIN FOREST,DE,Germany,Federal Republic of Germany,2000,$1834613.00,$0.00,$1834613.00,LCLS
09/12/2012,SSATP,TFM23430,PLANNER FOR SSA TRANSPORT PROGRAM,FI,Finland,Finland - Ministry for Foreign Affairs,2000,$343114.40,$0.00,$343114.40,LCLS
09/12/2012,MISC,TFM20635,PNG-NATIONAL FOREST ACTION PLAN,AU,Australia,Australian Agency for International Development (AusAID),2000,$1833263.23,$0.00,$1833263.23,LCLS
09/12/2012,MISC,TFM23388,POLICY RESEARCH REPORT ON GENDER AND DEVELOPMENT,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$337436.73,$0.00,$337436.73,LCLS
09/12/2012,IFC,TFM20825,POLISH BUSINESS ADVISORY SERVICES (PBAS),X4,Other Entities,,2000,$1320.01,$0.00,$1320.01,LCLS
09/12/2012,IFC,TFM20825,POLISH BUSINESS ADVISORY SERVICES (PBAS),X4,Other Entities,,2000,$9203936.49,$0.00,$9203936.49,LCLS
09/12/2012,BHTF,TFM24053,POLITICAL RISK GUARANTEE FACILITY,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$820980.23,$0.00,$820980.23,LCLS
09/12/2012,MISC,TFM21075,POPULATION & HEALTH OFFICE (PHO),X4,Other Entities,,2000,$4853218.49,$0.00,$4853218.49,LCLS
09/12/2012,MISC,TFM20003,POPULATION AND AIDS CONTROL PROJECT:BURKINA FASO,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$2869714.94,$0.00,$2869714.94,LCLS
09/12/2012,WBI,TF022904,POPULATION ECONOMIC AND REPRODUCTIVE HEALTH,GB,United Kingdom,United Kingdom - Department for International Development (DFID),2000,$447550.00,$0.00,$447550.00,LCLS
09/12/2012,MISC,TFM24880,POPULATION III PROJECT,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$382628.66,$0.00,$382628.66,LCLS
09/12/2012,MISC,TFM21206,POPULATION WELFARE PROGRAM UNDER SAPP II,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$2618625.19,$0.00,$2618625.19,LCLS
09/12/2012,WBI,TFM22547,"POPULATION, ECONOMIC AND REPRODUCTIVE HEALTH",X1,Private Non Profit Entities,,2000,$400000.00,$0.00,$400000.00,LCLS
09/12/2012,MISC,TFM21915,"POPULATION, HEALTH & NUTRITION SECTOR",GB,United Kingdom,United Kingdom - Department for International Development (DFID),2000,$474375.80,$0.00,$474375.80,LCLS
09/12/2012,MISC,TFM22024,PORTS REHABILITATION PROJECT,IT,Italy,Italy - Ministry of Foreign Affairs,2000,$21389400.00,$0.00,$21389400.00,LCLS
09/12/2012,CTF,TF023939,PORTUGUESE CTF (MAIN),PT,Portugal,Republic of Portugal,2000,$3343733.38,$0.00,$3343733.38,LCLS
09/12/2012,MISC,TFM21527,POST CONFLICT PARTNERSHIP,US,United States,United States Agency for International Development (USAID),2000,$178375.00,$0.00,$178375.00,LCLS
09/12/2012,MISC,TFM20141,POST CONFLICT PARTNERSHIP - NORWEGIAN GRANT,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$539735.02,$0.00,$539735.02,LCLS
09/12/2012,MISC,TFM20060,POTATO RESEARCH IN BANGLADESH,AU,Australia,Australian Agency for International Development (AusAID),2000,$740859.59,$0.00,$740859.59,LCLS
09/12/2012,MISC,TFM28062,POV. EQUITY & GROWTH,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$58611.10,$0.00,$58611.10,LCLS
09/12/2012,MISC,TFM28072,POVERTY ADJ. SYMPOSIUM,X4,Other Entities,,2000,$14800.48,$0.00,$14800.48,LCLS
09/12/2012,MISC,TFM21755,POVERTY ALLEV./SOCIAL COSTS OF ADJ.-SDA,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$229577.20,$0.00,$229577.20,LCLS
09/12/2012,MISC,TFM22028,POVERTY ANALYSIS & POLICY ADVICE SUPPORT PROGRAM,GB,United Kingdom,United Kingdom - Department for International Development (DFID),2000,$3220958.57,$0.00,$3220958.57,LCLS
09/12/2012,MISC,TFM24885,POVERTY ASSESSMENT & MONITORING PROJECT,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$142079.09,$0.00,$142079.09,LCLS
09/12/2012,MISC,TFM21609,POVERTY MONITORING SYSTEM,DK,Denmark,Danish Ministry of Foreign Affairs (DANIDA),2000,$1661101.39,$0.00,$1661101.39,LCLS
09/12/2012,MISC,TFM21905,POWER II PROJECT,CA,Canada,Canadian International Development  Agency (CIDA),2000,$338856.70,$0.00,$338856.70,LCLS
09/12/2012,MISC,TFM21906,POWER II PROJECT #2,CA,Canada,Canadian International Development  Agency (CIDA),2000,$1084341.43,$0.00,$1084341.43,LCLS
09/12/2012,MISC,TFM28396,PREPARATION OF ENVIRONMENTAL AUDIT REPORTS OF HEAVY INDUSTRIAL ENTERPRISES,NL,Netherlands,Netherlands - Ministry of Infrastructure and the Environment,2000,$200000.00,$0.00,$200000.00,LCLS
09/12/2012,MISC,TF025145,PRGIE - BELGIAN TRUST FUND,BE,Belgium,Belgium Directorate General for Development Cooperation (DGDC),2000,$1088351.04,$0.00,$1088351.04,LCLS
09/12/2012,MISC,TFM21430,PRIMARY EDUCATION DEVELOPMENT PROJECT,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$4464001.02,$0.00,$4464001.02,LCLS
